domain
gmail.com
googlemail.com
yahoo.com
yahoo.co.uk
yahoo.co.in
yahoo.com.ph
yahoo.fr
yahoo.de
ymail.com
rocketmail.com
hotmail.com
hotmail.co.uk
hotmail.fr
outlook.com
live.com
msn.com
aol.com
icloud.com
me.com
mac.com
proton.me
protonmail.com
pm.me
zoho.com
mail.com
gmx.com
gmx.net
gmx.de
web.de
t-online.de
yandex.com
yandex.ru
mail.ru
qq.com
163.com
126.com
naver.com
daum.net
rediffmail.com
comcast.net
verizon.net
att.net
sbcglobal.net
bellsouth.net
cox.net
charter.net
earthlink.net
juno.com
